ΕΦΑΡΜΟΓΗ,ΘΕΜΑΤΙΚΗ ΕΝΟΤΗΤΑ,ΓΝΩΣΤΙΚΟ ΑΝΤΙΚΕΙΜΕΝΟ,ΕΚΠΑΙΔΕΥΤΙΚΗ ΒΑΘΜΙΔΑ,"URL
",ΠΕΡΙΓΡΑΦΗ,"ΑΔΕΙΑ
",ΕΙΔΟΣ,ΛΕΙΤΟΥΡΓΙΚΟ
Ανθολόγιο Λογοτεχνικών Κειμένων Α' & Β' Δημοτικού - Προσαρμοσμένη έκδοση- Κείμενο για όλους (easy to read),"ΕΙΔΙΚΗ ΑΓΩΓΗ
",ΓΛΩΣΣΑ,ΠΡΩΤΟΒΑΘΜΙΑ,http://prosvasimo.gr/el/anthologio-logotexnikwn-keimenwn-easy-to-read,Εφαρμογή για χρήση από μαθητές με Προβλήματα Ακοής,ΙΕΠ / ΕΣΠΑ,"ΕΦΑΡΜΟΓΗ
",Windows,
"Αρχαία Ελληνική Γλώσσα Α,Β,Γ Γυμνασίου","ΕΙΔΙΚΗ ΑΓΩΓΗ
",ΑΡΧΑΙΑ,ΓΥΜΝΑΣΙΟ,http://www.prosvasimo.gr/el/ekpaideutiko-uliko,Εφαρμογή για χρήση από μαθητές με Κινητικά Προβλήματα,Λογισμικό Π.Ι.,"ΕΦΑΡΜΟΓΗ
",Windows,
Αρχαία με νόημα,"ΕΙΔΙΚΗ ΑΓΩΓΗ
",ΑΡΧΑΙΑ,ΓΥΜΝΑΣΙΟ,http://www.prosvasimo.gr/el/ekpaideutiko-uliko,Εφαρμογή για χρήση από μαθητές με Προβλήματα Ακοής,Λογισμικό Π.Ι.,"ΕΦΑΡΜΟΓΗ
",Windows,
Βιολογία Α΄- Γ΄,ΕΚΠΑΙΔΕΥΤΙΚΟ ΛΟΓΙΣΜΙΚΟ,ΒΙΟΛΟΓΙΑ,ΓΥΜΝΑΣΙΟ,http://ts.sch.gr/wiki/Linux/Λογισμικό,Ηλεκτρονικό υποστηρικτικό υλικό για τη διδασκαλία της Βιολογίας στις Α´ - Γ´ τάξεις του Γυμνασίου,Λογισμικό Π.Ι.,ΕΦΑΡΜΟΓΗ,LINUX,
Γαλλικά Α' - Γ',ΕΚΠΑΙΔΕΥΤΙΚΟ ΛΟΓΙΣΜΙΚΟ,ΓΑΛΛΙΚΑ,ΓΥΜΝΑΣΙΟ,http://ts.sch.gr/wiki/Linux/Λογισμικό,Ηλεκτρονικό υποστηρικτικό υλικό για τη διδασκαλία των Γαλλικών στις Α´ - Γ´ τάξεις του Γυμνασίου,Λογισμικό Π.Ι.,ΕΦΑΡΜΟΓΗ,LINUX,
Γερμανικά Α΄ - Γ΄,ΕΚΠΑΙΔΕΥΤΙΚΟ ΛΟΓΙΣΜΙΚΟ,ΓΕΡΜΑΝΙΚΑ,ΓΥΜΝΑΣΙΟ,http://ts.sch.gr/wiki/Linux/Λογισμικό,Ηλεκτρονικό υποστηρικτικό υλικό για τη διδασκαλία των Γερμανικών στις Α´ - Γ´ τάξεις του Γυμνασίου,Λογισμικό Π.Ι.,ΕΦΑΡΜΟΓΗ,LINUX,
"Γεωγραφία Α, Β Γυμνασίου","ΕΙΔΙΚΗ ΑΓΩΓΗ
",ΓΕΩΓΡΑΦΙΑ,ΓΥΜΝΑΣΙΟ,http://www.prosvasimo.gr/el/ekpaideutiko-uliko,Εφαρμογή για χρήση από μαθητές με Προβλήματα Όρασης,Λογισμικό Π.Ι.,"ΕΦΑΡΜΟΓΗ
",Windows,
Γεωγραφία Γυμνασίου,"ΕΙΔΙΚΗ ΑΓΩΓΗ
",ΓΕΩΓΡΑΦΙΑ,ΓΥΜΝΑΣΙΟ,http://www.prosvasimo.gr/el/ekpaideutiko-uliko,Εφαρμογή για χρήση από μαθητές με Κινητικά Προβλήματα,Λογισμικό Π.Ι.,"ΕΦΑΡΜΟΓΗ
",Windows,
Γεωγραφία Ε-ΣΤ Δημοτικού για τυφλούς μαθητές και μαθητές με προβλήματα όρασης,"ΕΙΔΙΚΗ ΑΓΩΓΗ
",ΓΕΩΓΡΑΦΙΑ,"ΠΡΩΤΟΒΑΘΜΙΑ
",http://www.prosvasimo.gr/el/ekpaideutiko-uliko,Εφαρμογή για χρήση από μαθητές με Προβλήματα Όρασης,Λογισμικό Π.Ι.,"ΕΦΑΡΜΟΓΗ
",Windows,
Γλώσσα Α-Γ Δημοτικού,"ΕΙΔΙΚΗ ΑΓΩΓΗ
",ΓΛΩΣΣΑ,"ΠΡΩΤΟΒΑΘΜΙΑ
",http://www.prosvasimo.gr/el/ekpaideutiko-uliko,Εφαρμογή για χρήση από μαθητές με Προβλήματα Όρασης,Λογισμικό Π.Ι.,"ΕΦΑΡΜΟΓΗ
",Windows,
"Γλώσσα Α, Β & Γ τάξεων","ΕΙΔΙΚΗ ΑΓΩΓΗ
",ΓΛΩΣΣΑ,"ΠΡΩΤΟΒΑΘΜΙΑ
",http://www.prosvasimo.gr/el/ekpaideutiko-uliko,Εφαρμογή για χρήση από μαθητές με Κινητικά Προβλήματα,Λογισμικό Π.Ι.,"ΕΦΑΡΜΟΓΗ
",Windows,
"Γλώσσα Α,Β,Γ Γυμνασίου","ΕΙΔΙΚΗ ΑΓΩΓΗ
",ΓΛΩΣΣΑ,ΓΥΜΝΑΣΙΟ,http://www.prosvasimo.gr/el/ekpaideutiko-uliko,Εφαρμογή για χρήση από μαθητές με Προβλήματα Ακοής,Λογισμικό Π.Ι.,"ΕΦΑΡΜΟΓΗ
",Windows,
Γλώσσα Α&Β Δημοτικού,"ΕΙΔΙΚΗ ΑΓΩΓΗ
",ΜΑΘΗΜΑΤΙΚΑ,ΠΡΩΤΟΒΑΘΜΙΑ,http://www.prosvasimo.gr/el/glossa-a-b-dhmotikou,Εφαρμογή για χρήση από μαθητές με Προβλήματα Ακοής,ΙΕΠ / ΕΣΠΑ,"ΕΦΑΡΜΟΓΗ
",Windows,
Γλώσσα Δ-Στ Δημοτικού,"ΕΙΔΙΚΗ ΑΓΩΓΗ
",ΓΛΩΣΣΑ,"ΠΡΩΤΟΒΑΘΜΙΑ
",http://www.prosvasimo.gr/el/ekpaideutiko-uliko,Εφαρμογή για χρήση από μαθητές με Κινητικά Προβλήματα,Λογισμικό Π.Ι.,"ΕΦΑΡΜΟΓΗ
",Windows,
Γλώσσα Δ-Στ Δημοτικού,"ΕΙΔΙΚΗ ΑΓΩΓΗ
",ΓΛΩΣΣΑ,"ΠΡΩΤΟΒΑΘΜΙΑ
",http://www.prosvasimo.gr/el/ekpaideutiko-uliko,Εφαρμογή για χρήση από μαθητές με Προβλήματα Όρασης,Λογισμικό Π.Ι.,"ΕΦΑΡΜΟΓΗ
",Windows,
Γλωσσικές περιπλανήσεις µε νοήµατα,"ΕΙΔΙΚΗ ΑΓΩΓΗ
","ΝΟΗΜΑΤΙΚΗ ΓΛΩΣΣΑ
",ΠΡΩΤΟΒΑΘΜΙΑ,http://prosvasimo.gr/el/gia-mathites-me-provlimata-akohs/glwssikes-periplaniseis,Εφαρμογή για χρήση από μαθητές με Προβλήματα Ακοής,ΥΠΕΠΘ /ΙΕΛ/ Γ΄ ΚΠΣ,"ΕΦΑΡΜΟΓΗ
",Windows,
Διερμηνευτής,ΠΡΟΓΡΑΜΜΑΤΙΣΜΟΣ,ΠΛΗΡΟΦΟΡΙΚΗ,"ΛΥΚΕΙΟ
",http://alkisg.mysch.gr/,"Ο Διερμηνευτής της ΓΛΩΣΣΑΣ είναι ένα ολοκληρωμένο περιβάλλον ανάπτυξης αλγορίθμων σε μορφή ψευδοκώδικα, ειδικά σχεδιασμένο για τη ΓΛΩΣΣΑ προγραμματισμού που διδάσκεται στα πλαίσια του μαθήματος Ανάπτυξη εφαρμογών σε προγραμματιστικό περιβάλλον (ΑΕΠΠ) της Γ΄ Γενικού Λυκείου",OPEN SOURCE,ΕΦΑΡΜΟΓΗ,"
WINDOWS,LINUX (WINE)",
Εκπαιδευτικές εφαρμογές Φωτόδεντρου,"ΑΝΟΙΧΤΟ ΕΚΠΑΙΔΕΥΤΙΚΟ ΠΕΡΙΕΧΟΜΕΝΟ
",ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,ΟΛΕΣ ΟΙ ΒΑΘΜΙΔΕΣ,http://retinalart.blogspot.gr/p/edu-games.html,,OER,ΠΛΑΤΦΟΡΜΑ,ΟΝLINE,
Εκπαιδευτικό λογισμικό για άτομα με τύφλωση ή προβλήματα όρασης,"ΕΙΔΙΚΗ ΑΓΩΓΗ
",ΑΓΓΛΙΚΑ,ΓΥΜΝΑΣΙΟ,http://www.prosvasimo.gr/el/ekpaideutiko-uliko,Εφαρμογή για χρήση από μαθητές με Προβλήματα Όρασης,Λογισμικό Π.Ι.,"ΕΦΑΡΜΟΓΗ
",Windows,
Ελληνική Νοηματική Γλώσσα για την Α' - Β' Δημοτικού,"ΕΙΔΙΚΗ ΑΓΩΓΗ
","ΝΟΗΜΑΤΙΚΗ ΓΛΩΣΣΑ
",ΠΡΩΤΟΒΑΘΜΙΑ,http://www.prosvasimo.gr/el/koita-me-kati-sou-leo,Εφαρμογή για χρήση από μαθητές με Προβλήματα Ακοής,ΙΕΠ / ΕΣΠΑ,"ΕΦΑΡΜΟΓΗ
",Windows,
ΕΜΜΕΛΕΙΑ,"ΕΙΔΙΚΗ ΑΓΩΓΗ
",ΜΟΥΣΙΚΗ,"ΟΛΕΣ ΟΙ ΒΑΘΜΙΔΕΣ
",http://ts.sch.gr/repo/online-packages/dim-mousiki-a-st/d16-web/#,,Λογισμικό Π.Ι.,"ΕΦΑΡΜΟΓΗ
",,
Εξερευνητής του υπολογιστή – Ηλεκτρονικός ταχυδρόμος,ΕΚΠΑΙΔΕΥΤΙΚΑ ΠΑΙΧΝΙΔΙΑ,ΜΑΘΗΜΑΤΙΚΑ#ΓΛΩΣΣΑ,ΠΡΟΣΧΟΛΙΚΗ,http://www.e-yliko.gr/index.php?option=com_k2&view=item&id=75:ekserevnitis-tou-ypologisti-ilektronikos-taxydromos&Itemid=135,Δραστηριότητες και παιχνίδια που αφορούν τις πρώτες μαθηματικές έννοιες και τη Γλώσσα που διδάσκονται τα παιδιά στο νηπιαγωγείο,,,"WINDOWS
",
ΕΠΙΤΕΛΩ,"ΕΙΔΙΚΗ ΑΓΩΓΗ
",ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,ΠΡΩΤΟΒΑΘΜΙΑ,http://www.prosvasimo.gr/el/epitelw,Πρόγραμμα εκπαίδευσης-εξάσκησης της προσοχής και της συγκέντρωσης Εφαρμογή για χρήση από μαθητές με προβλήματα προσοχής και συγκέντρωσης,ΙΕΠ / ΕΣΠΑ,"ΕΦΑΡΜΟΓΗ
",Windows,
Επόπτης,ΔΙΑΧΕΙΡΙΣΗ ΕΡΓΑΣΤΗΡΙΩΝ,,ΓΥΜΝΑΣΙΟ#ΛΥΚΕΙΟ,http://www.epoptes.org/,"Η εφαρμογή Επόπτης (Epoptes) αποτελεί μία σύγχρονη εφαρμογή διαχείρισης τάξης σε λειτουργικά συστήματα Ubuntu.      η απομακρυσμένη διαχείριση που περιλαμβάνει απομακρυσμένο άνοιγμα & κλείσιμο σταθμών, (απο)σύνδεση χρηστών, η προβολή χαρακτηριστικών του υλικού των σταθμών, η αυτόματη ανίχνευση υπολογιστών καθώς και η δυνατότητα ορισμού συγκεκριμένων ονομάτων στους υπολογιστές, το άνοιγμα της κονσόλας του σταθμού του χρήστη στο σταθμό του καθηγητή,
    η προβολή και μετάδοση οθονών που περιλαμβάνει τη γενική επισκόπηση των οθονών των μαθητών, τον απομακρυσμένο έλεγχο της οθόνης κάποιου συγκεκριμένου μαθητή και την προβολή της οθόνης του καθηγητή στους μαθητές,
    η υποστήριξη πολλών τάξεων ώστε να μπορούν για παράδειγμα δύο ή περισσότεροι καθηγητές να κάνουν ταυτόχρονα διδασκαλία σε διαφορετικούς σταθμούς ενός εργαστηρίου ή του σχολείου, (χρήσιμο για ένα σχολείο με δύο εργαστήρια και έναν εξυπηρετητή),
    ο περιορισμός των μαθητών που περιλαμβάνει κλείδωμα / ξεκλείδωμα των οθονών τους, άνοιγμα κλείσιμο ήχου,
    η απομακρυσμένη εκτέλεση εντολών σε όλους ή επιλεγμένους υπολογιστές,
    ο διαμοιρασμός της επιφάνειας εργασίας του καθηγητή εκτός του εργαστηρίου για λόγους τεχνικής υποστήριξης ή απομακρυσμένης διδασκαλίας. ","OPEN SOURCE
",ΕΦΑΡΜΟΓΗ,LINUX,
Ευ-Δομή,"ΕΙΔΙΚΗ ΑΓΩΓΗ
",ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,ΠΡΟΣΧΟΛΙΚΗ#ΠΡΩΤΟΒΑΘΜΙΑ,,Εφαρμογή για χρήση από μαθητές με Αυτισμό,ΕΠΕΑΕΚ,"ΕΦΑΡΜΟΓΗ
",Windows,
Η Γλώσσα μου με τα μάτια μου,"ΕΙΔΙΚΗ ΑΓΩΓΗ
",ΓΛΩΣΣΑ,"ΠΡΩΤΟΒΑΘΜΙΑ
",http://www.prosvasimo.gr/el/ekpaideutiko-uliko,Εφαρμογή για χρήση από μαθητές με Προβλήματα Ακοής,Λογισμικό Π.Ι.,"ΕΦΑΡΜΟΓΗ
",Windows,
"Η Σπίθα, ο κεραυνός και ο ύποπτος της οδού ανέμων. Η Σπίθα, ο κεραυνός και η ανακάλυψη της αλήθειας","ΕΙΔΙΚΗ ΑΓΩΓΗ
",ΓΛΩΣΣΑ,"ΠΡΩΤΟΒΑΘΜΙΑ
",http://www.prosvasimo.gr/el/ekpaideutiko-uliko,Εφαρμογή για χρήση από μαθητές με Κινητικά Προβλήματα,Λογισμικό Π.Ι.,"ΕΦΑΡΜΟΓΗ
",Windows,
Ηροδότου Ιστορίες Α΄- Β΄,ΕΚΠΑΙΔΕΥΤΙΚΟ ΛΟΓΙΣΜΙΚΟ,ΙΣΤΟΡΙΑ,ΓΥΜΝΑΣΙΟ,http://ts.sch.gr/wiki/Linux/Λογισμικό,Ηλεκτρονικό υποστηρικτικό υλικό για τη διδασκαλία του μαθήματος «Ηροδότου Ιστορίες» στις Α´ - Β´ τάξεις του Γυμνασίου,Λογισμικό Π.Ι.,ΕΦΑΡΜΟΓΗ,LINUX,
Θρησκευτικά Α΄- Γ΄,ΕΚΠΑΙΔΕΥΤΙΚΟ ΛΟΓΙΣΜΙΚΟ,ΘΡΗΣΚΕΥΤΙΚΑ,ΓΥΜΝΑΣΙΟ,http://ts.sch.gr/wiki/Linux/Λογισμικό,Ηλεκτρονικό υποστηρικτικό υλικό για τη διδασκαλία των Θρησκευτικών στις Α´ - Γ´ τάξεις του Γυμνασίου,Λογισμικό Π.Ι.,ΕΦΑΡΜΟΓΗ,LINUX,
Ιστορία ,"ΕΙΔΙΚΗ ΑΓΩΓΗ
",ΙΣΤΟΡΙΑ,"ΠΡΩΤΟΒΑΘΜΙΑ
",http://www.prosvasimo.gr/el/ekpaideutiko-uliko,Εφαρμογή για χρήση από μαθητές με Κινητικά Προβλήματα,Λογισμικό Π.Ι.,"ΕΦΑΡΜΟΓΗ
",Windows,
Ιστορία Α-Γ Γυμνασίου,"ΕΙΔΙΚΗ ΑΓΩΓΗ
",ΙΣΤΟΡΙΑ,ΓΥΜΝΑΣΙΟ,http://www.prosvasimo.gr/el/ekpaideutiko-uliko,Εφαρμογή για χρήση από μαθητές με Κινητικά Προβλήματα,Λογισμικό Π.Ι.,"ΕΦΑΡΜΟΓΗ
",Windows,
Ιστορία Α΄- Γ΄,ΕΚΠΑΙΔΕΥΤΙΚΟ ΛΟΓΙΣΜΙΚΟ,ΙΣΤΟΡΙΑ,ΓΥΜΝΑΣΙΟ,http://ts.sch.gr/wiki/Linux/Λογισμικό,Ηλεκτρονικό υποστηρικτικό υλικό για τη διδασκαλία της Ιστορίας στις Α´ - Γ´ τάξεις του Γυμνασίου,Λογισμικό Π.Ι.,ΕΦΑΡΜΟΓΗ,LINUX,
Κουρδιστά φρούτα,ΕΚΠΑΙΔΕΥΤΙΚΑ ΠΑΙΧΝΙΔΙΑ,ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,ΠΡΟΣΧΟΛΙΚΗ,http://www.e-yliko.gr/index.php?option=com_k2&view=item&id=188:ta-kourdista-froyta&Itemid=135,Μουσικοκινητική μέθοδος για παιδιά προσχολικής ηλικίας,,,WINDOWS,
Λεξικό Ελληνικής Νοηματικής Γλώσσας,"ΕΙΔΙΚΗ ΑΓΩΓΗ
","ΝΟΗΜΑΤΙΚΗ ΓΛΩΣΣΑ
",ΠΡΟΣΧΟΛΙΚΗ#ΠΡΩΤΟΒΑΘΜΙΑ,http://www.prosvasimo.gr/el/ekpaideutiko-uliko#Stroggyla-me-Aksia,Εφαρμογή για χρήση από μαθητές με Προβλήματα Ακοής,ΙΕΠ / ΕΣΠΑ,"ΕΦΑΡΜΟΓΗ
",Windows,
Λογισμικό για Ιστορία Α-Γ Γυμνασίου,"ΕΙΔΙΚΗ ΑΓΩΓΗ
",ΙΣΤΟΡΙΑ,ΓΥΜΝΑΣΙΟ,http://www.prosvasimo.gr/el/ekpaideutiko-uliko,Εφαρμογή για χρήση από μαθητές με Προβλήματα Όρασης,Λογισμικό Π.Ι.,"ΕΦΑΡΜΟΓΗ
",Windows,
Μαγικό Φίλτρο,"ΕΙΔΙΚΗ ΑΓΩΓΗ
",ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,ΠΡΟΣΧΟΛΙΚΗ#ΠΡΩΤΟΒΑΘΜΙΑ,http://www.prosvasimo.gr/el/ekpaideutiko-uliko,Ψηφιακό μαθησιακό παιχνίδι περιπέτειας. Εφαρμογή για χρήση από μαθητές με Μέτρια και Ελαφριά Νοητική Καθυστέρηση,Πανεπιστήμιο Αθηνών/ έργο ΕΠΙΝΟΗΣΗ,"ΕΦΑΡΜΟΓΗ
",Windows,
Μαθαίνω με νοήματα,"ΕΙΔΙΚΗ ΑΓΩΓΗ
","ΝΟΗΜΑΤΙΚΗ ΓΛΩΣΣΑ
",ΠΡΟΣΧΟΛΙΚΗ#ΠΡΩΤΟΒΑΘΜΙΑ,http://www.prosvasimo.gr/el/ekpaideutiko-uliko,Εφαρμογή για χρήση από μαθητές με Προβλήματα Ακοής,Λογισμικό Π.Ι. / ΙΝΤΡΑΚΟΜ,"ΕΦΑΡΜΟΓΗ
",Windows,
Μαθαίνω να κυκλοφορώ με ασφάλεια Β´,ΕΚΠΑΙΔΕΥΤΙΚΑ ΠΑΙΧΝΙΔΙΑ,ΚΥΚΛΟΦΟΡΙΑΚΗ ΑΓΩΓΗ,ΠΡΟΣΧΟΛΙΚΗ,http://photodentro.edu.gr/edusoft/r/8531/232?locale=el,"Μαθήματα κυκλοφοριακής αγωγής, παιγνίδια κυκλοφοριακής αγωγής και παιγνίδια εξοικείωσης",,,WINDOWS,
Μαθαίνω τη γλώσσα μου,ΕΚΠΑΙΔΕΥΤΙΚΑ ΠΑΙΧΝΙΔΙΑ,ΓΛΩΣΣΑ,ΠΡΟΣΧΟΛΙΚΗ,http://photodentro.edu.gr/edusoft/r/8531/215?locale=el,Γλωσσική καλλιέργεια μαθητών και μαθητριών του Νηπιαγωγείου,,,WINDOWS,
"Μαθήματα κυκλοφοριακής αγωγής,παιγνίδια κυκλοφοριακής αγωγής και παιγνίδια εξοικείωσης,","ΕΙΔΙΚΗ ΑΓΩΓΗ
",,ΠΡΩΤΟΒΑΘΜΙΑ,http://www.e-yliko.gr/Lists/List40/DispForm.aspx?ID=177,Εφαρμογή για χρήση από μαθητές με Μέτρια και Ελαφριά Νοητική Καθυστέρηση,ΕΠΕΑΕΚ,"ΕΦΑΡΜΟΓΗ
",Windows,
Μαθηματικά Α & Β Δημοτικού - Προσαρμοσμένη Έκδοση (κείμενο για όλους - easy to read),"ΕΙΔΙΚΗ ΑΓΩΓΗ
",ΜΑΘΗΜΑΤΙΚΑ,ΠΡΩΤΟΒΑΘΜΙΑ,http://prosvasimo.gr/el/mathimatika-easy-to-read,Εφαρμογή για χρήση από μαθητές με Προβλήματα Ακοής,ΙΕΠ / ΕΣΠΑ,"ΕΦΑΡΜΟΓΗ
",Windows,
Μαθηματικά Α-Β/Η Σπίθα και ο κεραυνός Γ-ΣΤ,"ΕΙΔΙΚΗ ΑΓΩΓΗ
",ΜΑΘΗΜΑΤΙΚΑ,"ΠΡΩΤΟΒΑΘΜΙΑ
",http://www.prosvasimo.gr/el/ekpaideutiko-uliko,Εφαρμογή για χρήση από μαθητές με Κινητικά Προβλήματα,Λογισμικό Π.Ι.,"ΕΦΑΡΜΟΓΗ
",Windows,
Μαθηματικά με νόημα,"ΕΙΔΙΚΗ ΑΓΩΓΗ
","ΜΑΘΗΜΑΤΙΚΑ
","ΠΡΩΤΟΒΑΘΜΙΑ
",http://www.prosvasimo.gr/el/ekpaideutiko-uliko,Εφαρμογή για χρήση από μαθητές με Προβλήματα Ακοής,Λογισμικό Π.Ι.,"ΕΦΑΡΜΟΓΗ
",Windows,
Μελέτη Περιβάλλοντος Α-Δ Δημοτικού,"ΕΙΔΙΚΗ ΑΓΩΓΗ
","ΜΕΛΕΤΗ ΠΕΡΙΒΑΛΛΟΝΤΟΣ
","ΠΡΩΤΟΒΑΘΜΙΑ
",http://www.prosvasimo.gr/el/ekpaideutiko-uliko,Εφαρμογή για χρήση από μαθητές με Προβλήματα Ακοής,Λογισμικό Π.Ι.,"ΕΦΑΡΜΟΓΗ
",Windows,
Μελέτη Περιβάλλοντος Α' & Β' Δημοτικού - Προσαρμοσμένη Έκδοση (κείμενο για όλους - easy to read ),"ΕΙΔΙΚΗ ΑΓΩΓΗ
",ΜΕΛΕΤΗ ΠΕΡΙΒΑΛΛΟΝΤΟΣ,ΠΡΩΤΟΒΑΘΜΙΑ,http://www.prosvasimo.gr/el/meleti-perivallontos-easy-to-read,Εφαρμογή για χρήση από μαθητές με Προβλήματα Ακοής,ΙΕΠ / ΕΣΠΑ,"ΕΦΑΡΜΟΓΗ
",Windows,
